InvestigationType,EventDate,Location,Country,Latitude,Longitude,Lethality,InjurySeverity,AircraftDamage,RegistrationNumber,Make,Model,NumberofEngines,EngineType,PurposeofFlight,AirCarrier,TotalFatalInjuries,WeatherCondition,BroadPhaseofFlight
Accident,6/2/86,"PETERSON, AL",United States,33.2326174,-87.423614,1,Fatal,Destroyed,N114BH,Maule,BO-105C,2,Turbo Shaft,Unknown,(DBA: [EMS]),3,VMC,MANEUVERING
Accident,7/14/84,"REHOBETH, MA",United States,41.8470056,-71.2393933,1,Fatal,Destroyed,N105CP,Maule,BO-105C,2,Turbo Shaft,Unknown,(DBA: [EMS]),2,VMC,CRUISE
Incident,5/12/88,"REIDSVILLE, NC",United States,36.3548586,-79.6644747,0,Incident,Minor,N101UC,AEROSPATIALE,AS-355-F,2,Turbo Shaft,Unknown,(DBA: [EMS]),0,VMC,CRUISE
Accident,9/30/87,"SAN DIEGO, CA",United States,32.715738,-117.1610838,1,Fatal,Destroyed,XAKOA,CESSNA,340A,2,Reciprocating,Unknown,(DBA: AERO SERVICIO DE SONORA),6,IMC,APPROACH
Accident,9/20/87,"ELDRED ROCK, AK",United States,58.9716667,-135.2208334,1,Fatal,Destroyed,CGPAC,PIPER,PA-31-310,2,Reciprocating,Unknown,(DBA: AIR NORTH),5,IMC,DESCENT
Accident,9/12/85,"FORT COLLINS, CO",United States,40.5852602,-105.084423,1,Fatal,Destroyed,N45724,AERO COMMANDER,680FL,2,Reciprocating,Unknown,(DBA: AIR PARCEL EXPRESS),1,VMC,CLIMB
Incident,3/11/97,"PORTLAND, OR",United States,45.5051064,-122.6750261,0,Incident,,N830BX,MCDONNELL DOUGLAS,DC-8-71F,4,Turbo Fan,Unknown,(DBA: AIR TRANSPORT INTERNATIONAL),0,VMC,TAKEOFF
Accident,1/16/90,"APPLETON, WI",United States,44.2619309,-88.4153847,1,Fatal,Destroyed,N87163,CESSNA,402B,2,Reciprocating,Unknown,(DBA: AIRBORNE EXPRESS),1,IMC,APPROACH
Incident,12/30/96,"ORLANDO, FL",United States,28.5383355,-81.3792365,0,Incident,Minor,N804AX,DOUGLAS,DC8-62,4,Turbo Fan,Unknown,(DBA: AIRBORNE EXPRESS),0,VMC,TAKEOFF
Accident,8/6/99,"CLOVIS, NM",United States,34.4047987,-103.2052272,1,Fatal,Destroyed,N6687B,Cessna,T210M,1,Reciprocating,Unknown,"(DBA: B & M ENTERPRISES, INC.)",1,VMC,APPROACH
Incident,3/10/86,"BARROW, AK",United States,71.2905556,-156.788611,0,Incident,Minor,N9943M,CESSNA,207,1,Reciprocating,Unknown,"(DBA: BARROW AIR, INC.)",0,VMC,CRUISE
Accident,8/18/88,"SITKA, AK",United States,57.0530556,-135.33,1,Fatal,Destroyed,N64398,de Havilland,DHC-2 MARK 1,1,Reciprocating,Unknown,"(DBA: BELLAIR, INC.)",1,UNK,MANEUVERING
Incident,1/15/91,"NOME, AK",United States,64.5011111,-165.4063889,0,Incident,Minor,N4118G,PIPER,PA-31-350,2,Reciprocating,Unknown,"(DBA: BERING AIR, INC.)",0,VMC,LANDING
Accident,1/14/87,"KENAI, AK",United States,60.5544444,-151.2583333,1,Fatal,Destroyed,N9395M,CESSNA,207A,1,Reciprocating,Unknown,(DBA: BIRCHWOOD AIR SERVICE),1,IMC,CRUISE
Accident,7/20/87,"CHICAGO, IL",United States,41.8781136,-87.6297982,1,Fatal,Destroyed,N3742C,CESSNA,402B,2,Reciprocating,Unknown,(DBA: BUFFALO EXPRESS),1,VMC,TAKEOFF
