SNo,Date,Country/Region,Confirmed,Deaths,Recovered
1,1/22/20,China,1,0,0
2,1/22/20,China,14,0,0
3,1/22/20,China,6,0,0
4,1/22/20,China,1,0,0
5,1/22/20,China,0,0,0
6,1/22/20,China,26,0,0
7,1/22/20,China,2,0,0
8,1/22/20,China,1,0,0
9,1/22/20,China,4,0,0
10,1/22/20,China,1,0,0
11,1/22/20,China,0,0,0
12,1/22/20,China,5,0,0
13,1/22/20,Hong Kong,0,0,0
14,1/22/20,China,444,17,28
15,1/22/20,China,4,0,0
16,1/22/20,China,0,0,0
17,1/22/20,China,1,0,0
18,1/22/20,China,2,0,0
19,1/22/20,China,0,0,0
20,1/22/20,China,2,0,0
21,1/22/20,Macau,1,0,0
22,1/22/20,China,1,0,0
23,1/22/20,China,0,0,0
24,1/22/20,China,0,0,0
25,1/22/20,China,2,0,0
26,1/22/20,China,9,0,0
27,1/22/20,China,1,0,0
28,1/22/20,China,5,0,0
29,1/22/20,Taiwan,1,0,0
30,1/22/20,China,4,0,0
31,1/22/20,China,0,0,0
32,1/22/20,US,1,0,0
33,1/22/20,China,0,0,0
34,1/22/20,China,1,0,0
35,1/22/20,China,10,0,0
36,1/22/20,Japan,2,0,0
37,1/22/20,Thailand,2,0,0
38,1/22/20,South Korea,1,0,0
39,1/23/20,China,9,0,0
40,1/23/20,China,22,0,0
41,1/23/20,China,9,0,0
42,1/23/20,China,5,0,0
43,1/23/20,China,2,0,0
44,1/23/20,China,32,0,2
45,1/23/20,China,5,0,0
46,1/23/20,China,3,0,0
47,1/23/20,China,5,0,0
48,1/23/20,China,1,1,0
49,1/23/20,China,2,0,0
50,1/23/20,China,5,0,0
51,1/23/20,Hong Kong,2,0,0
52,1/23/20,China,444,17,28
53,1/23/20,China,9,0,0
54,1/23/20,China,0,0,0
55,1/23/20,China,5,0,0
56,1/23/20,China,7,0,0
57,1/23/20,China,1,0,0
58,1/23/20,China,3,0,0
59,1/23/20,Macau,2,0,0
60,1/23/20,China,1,0,0
61,1/23/20,China,0,0,0
62,1/23/20,China,3,0,0
63,1/23/20,China,6,0,0
64,1/23/20,China,16,0,0
65,1/23/20,China,1,0,0
66,1/23/20,China,8,0,0
67,1/23/20,Taiwan,1,0,0
68,1/23/20,China,4,0,0
69,1/23/20,China,0,0,0
70,1/23/20,US,1,0,0
71,1/23/20,China,2,0,0
72,1/23/20,China,2,0,0
73,1/23/20,China,27,0,0
74,1/23/20,Japan,1,0,0
75,1/23/20,Thailand,3,0,0
76,1/23/20,South Korea,1,0,0
77,1/23/20,Singapore,1,0,0
78,1/23/20,Philippines,0,0,0
79,1/23/20,Malaysia,0,0,0
80,1/23/20,Vietnam,2,0,0
81,1/23/20,Australia,0,0,0
82,1/23/20,Mexico,0,0,0
83,1/23/20,Brazil,0,0,0
84,1/23/20,Colombia,0,0,0
85,1/24/20,China,549,24,31
86,1/24/20,China,53,0,2
87,1/24/20,China,43,0,1
88,1/24/20,China,36,0,1
89,1/24/20,China,27,0,0
90,1/24/20,China,24,0,0
91,1/24/20,China,23,0,0
92,1/24/20,China,20,0,1
93,1/24/20,China,18,0,0
94,1/24/20,China,15,0,0
95,1/24/20,China,15,0,0
96,1/24/20,China,15,0,0
97,1/24/20,China,10,0,0
98,1/24/20,China,9,0,0
99,1/24/20,China,9,0,0
100,1/24/20,China,8,0,0
101,1/24/20,China,8,0,0
102,1/24/20,China,5,0,0
103,1/24/20,China,5,0,0
104,1/24/20,China,4,1,0
105,1/24/20,China,4,0,0
106,1/24/20,China,3,0,0
107,1/24/20,China,3,0,0
108,1/24/20,Taiwan,3,0,0
109,1/24/20,China,2,0,0
110,1/24/20,Hong Kong,2,0,0
111,1/24/20,Macau,2,0,0
112,1/24/20,China,2,1,0
113,1/24/20,China,2,0,0
114,1/24/20,China,2,0,0
115,1/24/20,China,1,0,0
116,1/24/20,China,1,0,0
117,1/24/20,China,0,0,0
118,1/24/20,US,1,0,0
119,1/24/20,US,1,0,0
120,1/24/20,Japan,2,0,0
121,1/24/20,Thailand,5,0,0
122,1/24/20,South Korea,2,0,0
123,1/24/20,Singapore,3,0,0
124,1/24/20,Vietnam,2,0,0
125,1/24/20,France,2,0,0
126,1/25/20,China,761,40,32
127,1/25/20,China,78,0,2
128,1/25/20,China,62,0,1
129,1/25/20,China,57,0,0
130,1/25/20,China,43,0,0
131,1/25/20,China,41,0,2
132,1/25/20,China,39,0,0
133,1/25/20,China,33,0,1
134,1/25/20,China,32,0,0
135,1/25/20,China,28,0,0
136,1/25/20,China,27,0,0
137,1/25/20,China,23,0,0
138,1/25/20,China,19,0,0
139,1/25/20,China,18,0,0
140,1/25/20,China,18,0,0
141,1/25/20,China,18,0,1
142,1/25/20,China,17,0,0
143,1/25/20,China,15,0,0
144,1/25/20,China,11,0,0
145,1/25/20,China,10,0,0
146,1/25/20,China,9,1,0
147,1/25/20,China,8,1,0
148,1/25/20,China,7,0,0
149,1/25/20,China,6,0,0
150,1/25/20,Hong Kong,5,0,0
151,1/25/20,China,4,0,0
152,1/25/20,China,4,0,0
153,1/25/20,China,4,0,0
154,1/25/20,China,3,0,0
155,1/25/20,Taiwan,3,0,0
156,1/25/20,China,3,0,0
157,1/25/20,Macau,2,0,0
158,1/25/20,China,1,0,0
159,1/25/20,US,1,0,0
160,1/25/20,US,1,0,0
161,1/25/20,Japan,2,0,0
162,1/25/20,Thailand,7,0,0
163,1/25/20,South Korea,2,0,0
164,1/25/20,Singapore,3,0,0
165,1/25/20,Vietnam,2,0,0
166,1/25/20,France,3,0,0
167,1/25/20,Australia,4,0,0
168,1/25/20,Nepal,1,0,0
169,1/25/20,Malaysia,3,0,0
170,1/26/20,China,1058,52,42
171,1/26/20,China,111,0,2
172,1/26/20,China,104,0,1
173,1/26/20,China,83,1,0
174,1/26/20,China,75,0,0
175,1/26/20,China,69,0,0
176,1/26/20,China,68,0,2
177,1/26/20,China,60,0,0
178,1/26/20,China,46,0,0
179,1/26/20,China,44,0,0
180,1/26/20,China,40,1,1
181,1/26/20,China,36,0,0
182,1/26/20,China,36,0,0
183,1/26/20,China,35,0,0
184,1/26/20,China,33,0,1
185,1/26/20,China,22,0,0
186,1/26/20,China,22,0,0
187,1/26/20,China,21,0,0
188,1/26/20,China,16,0,0
189,1/26/20,China,15,1,0
190,1/26/20,China,14,0,0
191,1/26/20,China,13,1,0
192,1/26/20,China,9,0,0
193,1/26/20,Hong Kong,8,0,0
194,1/26/20,China,7,0,0
195,1/26/20,China,7,0,0
196,1/26/20,China,5,0,0
197,1/26/20,Macau,5,0,0
198,1/26/20,China,4,0,0
199,1/26/20,China,4,0,0
200,1/26/20,Taiwan,4,0,0
201,1/26/20,China,4,0,0
202,1/26/20,China,1,0,0
203,1/26/20,US,1,0,0
204,1/26/20,US,1,0,0
205,1/26/20,US,2,0,0
206,1/26/20,US,1,0,0
207,1/26/20,Japan,4,0,1
208,1/26/20,Thailand,8,0,2
209,1/26/20,South Korea,3,0,0
210,1/26/20,Singapore,4,0,0
211,1/26/20,Vietnam,2,0,0
212,1/26/20,France,3,0,0
213,1/26/20,Australia,4,0,0
214,1/26/20,Nepal,1,0,0
215,1/26/20,Malaysia,4,0,0
216,1/26/20,Canada,1,0,0
217,1/27/20,China,1423,76,45
218,1/27/20,China,151,0,4
219,1/27/20,China,128,0,1
220,1/27/20,China,128,1,0
221,1/27/20,China,110,0,0
222,1/27/20,China,100,0,0
223,1/27/20,China,80,1,2
224,1/27/20,China,75,0,0
225,1/27/20,China,72,0,2
226,1/27/20,China,70,0,0
227,1/27/20,China,69,0,0
228,1/27/20,China,59,0,0
229,1/27/20,China,53,1,3
230,1/27/20,China,47,0,1
231,1/27/20,China,46,0,0
232,1/27/20,China,35,0,0
233,1/27/20,China,33,1,0
234,1/27/20,China,27,0,0
235,1/27/20,China,26,0,0
236,1/27/20,China,23,0,0
237,1/27/20,China,21,1,0
238,1/27/20,China,18,1,0
239,1/27/20,China,14,0,0
240,1/27/20,China,13,0,0
241,1/27/20,China,11,0,0
242,1/27/20,Hong Kong,8,0,0
243,1/27/20,China,7,0,0
244,1/27/20,China,7,0,0
245,1/27/20,China,6,0,0
246,1/27/20,Macau,6,0,0
247,1/27/20,China,6,0,0
248,1/27/20,Taiwan,5,0,0
249,1/27/20,China,5,0,0
250,1/27/20,US,1,0,0
251,1/27/20,US,1,0,0
252,1/27/20,US,2,0,0
253,1/27/20,US,1,0,0
254,1/27/20,Japan,4,0,1
255,1/27/20,Thailand,8,0,2
