,Country,Beds,Bed_occupancy,Bed_change_%,Bed_change_prev_year,Bed_change_(13-17),ICU_beds,Ventilators,population,population_change,ECMO,physicians,Nurses,Expenditure,Democracy_Score,Electoral_processand_pluralism,Functioning_of_government,Political_participation,Political_culture,Civil_liberties,Median(Years),Male(Years),Female (Years),age 0 to 14,age 15 to 64,age over 65
0,Japan,1305,75.5,-0.48,-6,25,7.3,0.025686523,126860301,-0.27,0.001113035,230,1215.31,4.519,7.99,8.75,8.21,6.67,7.5,8.82,47.3,46,48.7,12.9,60.1,27
1,South Korea,1227,,2.85,34,-135,10.6,0.019121408,51225308,0.1,,214,,,,,,,,,41.8,40.2,43.4,13.5,72.6,13.9
2,Russia,805,,-3.04,-26,102,8.3,0.027421253,145872256,0.09,0.085005884,430,,,3.11,2.17,1.79,5,2.5,4.12,39.6,36.6,42.5,17.6,68.2,14.2
3,Germany,800,62.1,-0.86,-7,28,38.7,0.029934009,83517045,0.47,0.90400708,389,1323.52,5.551,8.68,9.58,8.57,8.33,7.5,9.41,47.1,46,48.2,13.1,65.5,21.5
4,Austria,737,73.8,-0.9,-7,27,21.8,0.027917047,8955102,0.72,,483,708.99,5.227,8.29,9.58,7.86,8.33,6.88,8.82,44,42.8,45.1,14.1,66.7,19.2
5,Hungary,702,65.5,-0.07,-1,2,13.8,26.43350389,9684679,-0.24,,308,691.57,2.101,6.63,8.75,6.07,5,6.25,7.06,42.3,40.4,44.3,14.3,67.1,18.6
6,Czech Republic,663,70.1,-0.26,-2,7,11.6,0.033014604,10689209,0.22,,362,839.55,2.544,7.69,9.58,6.79,6.67,6.88,8.53,42.1,40.8,43.4,15.4,65.6,19
7,Poland,662,,0.04,0,-1,6.9,0.02665768,37887768,-0.09,0.124050591,222,689.26,1.798,6.62,9.17,6.07,6.11,4.38,7.35,40.7,39,42.4,14.8,68.4,16.8
8,Lithuania,656,73.2,-2.65,-18,72,15.5,36.23678128,2759627,-1.49,,412,984.72,,7.5,9.58,6.43,6.11,6.25,9.12,43.7,39.7,47.1,14.8,66.2,19
9,France,598,75.6,-1.23,-8,30,11.6,0.014180928,65129728,0.21,,319,1147.07,4.6,8.12,9.58,7.86,7.78,6.88,8.53,41.4,39.6,43.1,18.1,62.2,19.7
10,Slovakia,582,67.8,0.08,1,-2,9.2,10.99502603,5457013,0.07,,332,,,7.17,9.58,7.14,5.56,5.63,7.94,40.5,38.8,42.3,15.4,69.6,15.1
11,Belgium,576,81.8,-0.73,-4,17,15.9,,11539328,0.5,,299,1946.14,4.84,7.64,9.58,8.21,5,6.88,8.53,41.4,40.2,42.7,17.1,64.3,18.6
12,Latvia,557,71.1,-1.03,-6,23,9.7,,1906743,-1.13,,358,475.17,1.466,7.49,9.58,6.07,6.11,6.88,8.82,43.6,39.7,46.9,15.4,64.8,19.8
13,Hong Kong,,,0,0,,7.1,,7436154,0.87,,,,,6.02,3.58,4.36,6.11,7.5,8.53,44.4,43.5,45,11.5,72.2,16.3
