state,Lat,Long,total,
"Seattle, WA",47.7511,-120.74,30,
"Chicago, IL",40.6331,-89.3985,49,
"Tempe, AZ",34.0489,-111.094,26,
"Orange, CA",33.7879,-117.8531,26,
"Los Angeles, CA",34.0522,-118.2437,26,
"Santa Clara, CA",37.3541,-121.9552,39,
"Boston, MA",42.3601,-71.0589,20,
"San Benito, CA",36.5761,-120.9876,36,
"Madison, WI",43.0731,-89.4012,16,
"San Diego County, CA",32.7157,-117.1611,18,
"San Antonio, TX",29.4241,-98.4936,8,
"Omaha, NE",41.2545,-95.9758,1,
"Travis, CA",38.2721,-121.9399,1, 
"Lackland, TX",29.3829,-98.6134,1, 
"Humboldt County, CA",40.745,-123.8695,1, 
"Sacramento County, CA",38.4747,-121.3542,1,
"Snohomish County, WA"," 	48.033",-121.8339,1,
"Providence, RI",41.824,-71.4128,2, 
"Grafton County, NH",43.9088,-71.826,2,
"Hillsborough, FL,",27.9904,-43.2102,2,
"Placer County, CA, ",39.0916,-81.7123,16,
"San Mateo, CA",37.563,-122.3255,7,
"Sarasota, FL,",27.3364,-82.5307,6,
"Sonoma County, CA",38.578,-122.9888,6,
"Umatilla, OR,",45.775,-118.7606,6,
"Fulton County, GA,",33.8034,-84.3963,11,
"Washington County, OR",45.547,-123.1386,15,
"Norfolk County, MA", 42.1767,-71.1449, 7, 
"Berkeley, CA", 37.8715,-122.273, 4, 	
"Maricopa County, AZ", 33.2918,	-112.4291, 8, 
"Wake County, NC",35.8032,-78.5661, 5, 
"Westchester County, NY",41.122,-73.7949,57,
"Orange County, CA",33.7879	-117.85311, 51,
"Contra Costa County, CA",37.8534,-121.9018, 8, 
"Bergen County, NJ", 40.9263, -74.077, 8, 
"Harris County, TX", 29.7752,-95.3103, 10,
"San Francisco County, CA", 37.7749,-122.4194, 13,
"Clark County, NV", 36.0796,-115.094, 3,
"Fort Bend County, TX",	29.5693,-95.8143, 4,
"Grant County, WA", 47.1981,-119.3732, 3,
"Santa Rosa County, FL"	30.769,	-86.9824, 3,
"Williamson County, TN",35.9179,-86.8622, 3,
"New York County, NY",	40.7128,-74.006, 34,
"Unassigned Location, WA",47.7511,	-120.7401, 10,
"Montgomery County, MD"	39.1547,-77.2405, 6,
"Suffolk County, MA",42.3601,-71.0589, 43,
"Denver County, CO", 39.7392, -104.9903, 4,
"Summit County, CO", 39.5912-106.064, 4,
Chatham County, NC	US	35.7211	-79.1781	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
Delaware County, PA	US	39.9078	-75.3879	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
Douglas County, NE	US	41.3148	-96.1951	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
Fayette County, KY	US	38.0606	-84.4803	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
Floyd County, GA	US	34.2829	-85.2308	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2
Marion County, IN	US	39.8362	-86.1752	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
Middlesex County, MA	US	42.4672	-71.2874	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
Nassau County, NY	US	40.6546	-73.5594	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	4
Norwell County, MA	US	42.1615	-70.7928	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	
Ramsey County, MN	US	44.9964	-93.0616	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
Washoe County, NV	US	40.5608	-119.6035	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
Wayne County, PA	US	41.6739	-75.2479	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
Yolo County, CA	US	38.7646	-121.9018	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1





